特征名称,累计收益,年化收益,年化波动,夏普,Normal_IC
feature2_feature3_sum_5_vol,0.166884,0.057134,0.182264,0.203735,-0.022249
feature1_feature2_sum_10_mean,0.087809,0.030988,0.182577,0.060182,-0.020178
feature3_20_mean,0.084389,0.030253,0.182079,0.056313,-0.023365
feature3_5_10,-0.13968,-0.053091,0.182586,-0.400309,-0.079441
feature1_feature2_product_20_mean,0.286956,0.097253,0.181972,0.424531,0.047675
feature1_feature2_quotient_10_vol,0.062664,0.023696,0.178736,0.020677,0.038015
feature1_feature3_product,0.533744,0.165443,0.181628,0.800776,-0.023646
feature2_feature3_product_5_vol,0.142575,0.049152,0.182276,0.159935,0.035745
feature2_feature3_sum_5_20,0.449391,0.146298,0.181847,0.694529,-0.06428
feature3_5_20,0.160947,0.056437,0.182047,0.20015,-0.054832
